label,core
Evenk_Khabarovsk_(n=2),Evenk_Khabarovsk
Evenk_Khabarovsk_(European-Mixed)_(n=3),Evenk_Khabarovsk_(European-Mixed)
Evenk_o1_(n=1),Evenk
Evenk_o2_(n=1),Evenk
Evenk_Zabaykalsky_(n=8),Evenk_Zabaykalsky
Filipino_(n=78),Filipino
Filipino_Luzon_(n=12),Filipino_Luzon
Finnish_(n=50),Finnish
Finnish_Central_(n=10),Finnish_Central
Finnish_East_(n=12),Finnish_East
Finnish_Ingria_(n=11),Finnish_Ingria
Finnish_North_(n=9),Finnish_North
Finnish_Southeast_(n=11),Finnish_Southeast
Finnish_Southwest_(n=8),Finnish_Southwest
Flemish_Belgium_(n=2),Flemish_Belgium
Flemish_France_Nord_(n=3),Flemish_France_Nord
Formosan_(n=14),Formosan
Formosan_o_(n=1),Formosan
Frafra_Nankam_(n=50),Frafra_Nankam
French_(n=64),French
French_Arpitan_Auvergne-Rhone-Alpes_Isere_(n=1),French_Arpitan_Auvergne-Rhone-Alpes_Isere
